candidate_id,candidate_name,genome,novelty_score,realism_score,evasion_potential,priority_score,detection_rate,blind_spot_level,nearest_known_attack,nearest_known_similarity
NSA-001,Trusted-Device MCP Tool Micro-Payment Abuse,"{""target"": ""payment_agent"", ""entry_vector"": ""malicious_tool"", ""behavior"": ""low_and_slow"", ""evasion_strategy"": ""trusted_device_masking"", ""payment_channel"": ""api_gateway"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""delegated_agent"", ""merchant_strategy"": ""digital_marketplace"", ""geographic_strategy"": ""residential_proxy_spoofed""}",0.2171,0.82,0.97,0.6238,16.0,CRITICAL BLIND SPOT,ATK-018 (Malicious MCP / Plugin Tool Unauthorized Transaction),0.7829
NSA-002,Trusted-Device Burst Account Takeover,"{""target"": ""account"", ""entry_vector"": ""carrier_compromise"", ""behavior"": ""burst_velocity"", ""evasion_strategy"": ""trusted_device_masking"", ""payment_channel"": ""mobile_app"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""existing_account"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""residential_proxy_spoofed""}",0.2791,0.86,0.76,0.5976,24.0,CRITICAL BLIND SPOT,ATK-028 (AI SIM-Swap + Automated OTP Exfiltration),0.7209
NSA-003,Session-Replay Synthetic Identity Checkout Abuse,"{""target"": ""checkout"", ""entry_vector"": ""deepfake_synthesis"", ""behavior"": ""identity_fabrication"", ""evasion_strategy"": ""trusted_session_behavior"", ""payment_channel"": ""api_gateway"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""synthetic_sleeper"", ""merchant_strategy"": ""high_risk_crypto"", ""geographic_strategy"": ""domestic_matching""}",0.4651,0.7,0.67,0.597,83.0,MODERATE BLIND SPOT,ATK-005 (Deepfake Video KYC Onboarding Bypass),0.5349
NSA-004,AI SIM-Swap Automated OTP Exfiltration Variant,"{""target"": ""account"", ""entry_vector"": ""carrier_compromise"", ""behavior"": ""burst_velocity"", ""evasion_strategy"": ""risk_signal_suppression"", ""payment_channel"": ""mobile_app"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""daytime_peak"", ""identity_strategy"": ""swapped_sim"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""domestic_matching""}",0.2946,0.81,0.73,0.5798,100.0,LOW PRIORITY,ATK-028 (AI SIM-Swap + Automated OTP Exfiltration),0.7054
NSA-005,Signal-Suppressed Cart Manipulation Account Takeover,"{""target"": ""account"", ""entry_vector"": ""credential_abuse"", ""behavior"": ""cart_manipulation"", ""evasion_strategy"": ""risk_signal_suppression"", ""payment_channel"": ""e-commerce"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""even_interval"", ""identity_strategy"": ""existing_account"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""domestic_matching""}",0.3101,0.75,0.76,0.577,80.0,MODERATE BLIND SPOT,ATK-015 (Velocity-Throttled Automated Account Draining),0.6899
NSA-006,Trusted-Device Low-and-Slow Push Payment Fraud,"{""target"": ""payment_authorization"", ""entry_vector"": ""api_exploit"", ""behavior"": ""low_and_slow"", ""evasion_strategy"": ""trusted_device_masking"", ""payment_channel"": ""p2p_transfer"", ""amount_strategy"": ""high_ticket_escalation"", ""temporal_strategy"": ""daytime_peak"", ""identity_strategy"": ""authorized_victim"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""domestic_matching""}",0.2326,0.75,0.86,0.576,6.5,CRITICAL BLIND SPOT,ATK-002 (Conversational Phishing Agent (AI Romance / Trust Scam)),0.7674
NSA-007,Geo-Spoofed Burst Agent Exploit,"{""target"": ""payment_agent"", ""entry_vector"": ""api_exploit"", ""behavior"": ""burst_velocity"", ""evasion_strategy"": ""geolocation_spoofing"", ""payment_channel"": ""api_gateway"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""even_interval"", ""identity_strategy"": ""delegated_agent"", ""merchant_strategy"": ""digital_marketplace"", ""geographic_strategy"": ""domestic_matching""}",0.3333,0.76,0.71,0.5743,55.0,HIGH BLIND SPOT,ATK-019 (Agentic Webhook Signature Evasion & Race Exploit),0.6667
NSA-008,Geo-Spoofed Low-and-Slow Merchant Return Arbitrage,"{""target"": ""merchant"", ""entry_vector"": ""api_exploit"", ""behavior"": ""low_and_slow"", ""evasion_strategy"": ""geolocation_spoofing"", ""payment_channel"": ""mobile_app"", ""amount_strategy"": ""micro_transactions"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""fabricated_identity"", ""merchant_strategy"": ""mcc_rotation"", ""geographic_strategy"": ""domestic_matching""}",0.3876,0.7,0.68,0.569,40.0,HIGH BLIND SPOT,ATK-013 (Low-and-Slow AI Micro-Carding Swarm),0.6124
NSA-009,Camouflaged Low-and-Slow Push Payment Fraud,"{""target"": ""payment_authorization"", ""entry_vector"": ""social_engineering"", ""behavior"": ""low_and_slow"", ""evasion_strategy"": ""amount_camouflage"", ""payment_channel"": ""p2p_transfer"", ""amount_strategy"": ""sub_threshold_structuring"", ""temporal_strategy"": ""daytime_peak"", ""identity_strategy"": ""existing_account"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""domestic_matching""}",0.3333,0.75,0.7,0.5683,30.5,CRITICAL BLIND SPOT,ATK-014 (AI Smurfing & Micro-Structuring Network),0.6667
NSA-010,Camouflaged Behavioral Mimicry Push Payment Fraud,"{""target"": ""payment_authorization"", ""entry_vector"": ""credential_abuse"", ""behavior"": ""behavioral_mimicry"", ""evasion_strategy"": ""amount_camouflage"", ""payment_channel"": ""p2p_transfer"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""existing_account"", ""merchant_strategy"": ""single_target"", ""geographic_strategy"": ""domestic_matching""}",0.2946,0.75,0.73,0.5618,15.5,CRITICAL BLIND SPOT,ATK-014 (AI Smurfing & Micro-Structuring Network),0.7054
NSA-011,Camouflaged MCP Tool Micro-Payment Abuse,"{""target"": ""payment_agent"", ""entry_vector"": ""malicious_tool"", ""behavior"": ""low_and_slow"", ""evasion_strategy"": ""amount_camouflage"", ""payment_channel"": ""api_gateway"", ""amount_strategy"": ""normal_looking"", ""temporal_strategy"": ""distributed"", ""identity_strategy"": ""delegated_agent"", ""merchant_strategy"": ""digital_marketplace"", ""geographic_strategy"": ""domestic_matching""}",0.155,0.87,0.79,0.56,43.5,HIGH BLIND SPOT,ATK-018 (Malicious MCP / Plugin Tool Unauthorized Transaction),0.845
